,Dummy,EST_CV,EST_NCV,SARIMA_CV
cs.CV,2.1755669195699365,1.8636326758264081,1.7659805163261744,1.7781484666943508
cs.CY,2.07935304801585,1.6032567713680135,1.573944660788084,1.5677714952970414
cs.DB,1.6753982086474581,1.6289813762658658,1.57371745005583,1.5340236717733358
cs.DC,1.371062077190535,1.048574499877119,1.0542228966767755,1.0825658586614837
cs.DL,2.107882659569635,2.1565803170232667,2.198597724614408,2.1629924607283484
cs.DM,1.031902520052414,0.9874611413573557,1.0122204895968128,0.9995257214008157
cs.DS,1.1088537913014878,1.0564018440568792,0.9790748051827717,1.1724535820135509
cs.ET,2.657388572622828,2.5234256454376354,2.6607667093744136,2.5250870028432915
cs.FL,1.5451125057114696,1.6232370323005225,1.5555434174390639,1.5170423340987649
cs.GL,3.2371469505616584,3.359259021403656,3.731039206770586,5.8511594548927155
cs.GR,3.400922251417282,3.4161506357571634,3.390210179918478,3.37238564091378
cs.GT,1.9104331864088149,1.9094540652275749,1.8904327490472126,1.6703202128006174
cs.HC,2.660106258864718,2.056267177132171,2.0971734407352205,2.3118637197054883
cs.IR,1.9233240180999702,1.7252545389052505,1.7827460216893314,1.6411043353614923
cs.IT,0.8100398848831573,0.7082740091799321,0.8043296430747439,0.7414441211425854
cs.LG,1.6916501195810962,1.4053581014871626,1.2968517220703437,1.2631887347637174
cs.LO,1.5151762929780637,1.5027943428615078,1.5689826212769022,1.5049536784414486
cs.MA,2.7962193363094228,2.2722179985978426,2.2738541756416413,2.4331449070828315
cs.MM,2.751466848489566,2.3915665575418164,2.2932805373437146,2.597469976764704
cs.MS,2.103576339094812,2.1742474918391244,2.1775898084228538,2.166874637566346
cs.NA,1.5682803523992657,1.1532188992220707,1.2136496257412335,1.1597892879641032
cs.NE,1.2401036460709849,1.0446959921245755,1.068380021602505,1.033371704284275
cs.NI,1.138957797568763,0.8986989435661594,0.9074366192018856,0.8901609248969583
cs.OH,1.1403915688100146,1.1025386317006651,1.1382661551252085,1.1019839591500686
cs.OS,5.314920259875587,5.4332059604371565,5.624363381311632,5.517718178066517
cs.PF,2.0979018271873366,2.036707474157953,2.1061676480464024,2.0791905904111143
cs.PL,1.937896963643281,2.0965122292817955,2.15065915614877,1.9213719084962737
cs.RO,2.651978708635522,2.423562146900222,2.3337916432476593,2.460376900353261
cs.SC,2.677194866867722,2.6711171702427516,2.7414874075732807,2.692633391306724
cs.SD,1.7592332989243196,1.2794636482226212,1.14021617838713,1.3415579457103406
cs.SE,2.0629078602924866,1.8078045245123167,1.9998575206339075,1.9372308705004238
cs.SI,1.184609080699707,1.0581031607638478,1.076667536826786,1.0536985650991693
cs.SY,1.3616890223008387,1.1286741656169816,1.0765500133484878,1.1895723360651418
econ.EM,2.67038459221285,2.3494380103324772,2.358140360861525,2.331452075978892
econ.GN,2.793269511004923,2.6665769127432863,2.715851245845381,2.724002598665428
econ.TH,4.457933340395317,4.205944215422349,4.199586494725189,4.181961330585369
eess.AS,2.206029806067726,1.4467326288363322,1.315223936768237,1.446224313883365
eess.IV,1.7334995236676563,1.6187265443699383,1.6598818671456899,1.587238054336561
eess.SP,1.728101317203073,1.271246487729686,1.4268886066708912,1.3096408786765061
eess.SY,1.7470047478955562,1.4475912171737675,1.3811650103989093,1.5311747827879887
gr-qc,0.4714535191744174,0.43310701485543407,0.4434515291002856,0.45443889399521464
hep-ex,0.6195254253494694,0.7670575967160973,0.6511980564502937,0.6191435974370401
hep-lat,1.2275162192094171,1.1582844419043048,1.1769363892615627,1.1281322309905875
hep-ph,0.41236559311022025,0.4298722405806474,0.3993003843832736,0.386808775994452
hep-th,0.4302716736575987,0.38901155304932084,0.39225585712690336,0.41237977962963657
math-ph,0.48785965556423744,0.43482816244865735,0.4490353380709197,0.4535672448829674
math.AC,0.8026721486739699,0.7637238048697855,0.7853514491508299,0.766508347921009
math.AG,0.5845548813030496,0.4845417226856879,0.4738656331243893,0.4808187723723786
math.AP,0.6829343176266665,0.5880657494533413,0.5646803454713952,0.5269946157382308
math.AT,0.7803559775676489,0.7241337432140464,0.731092969340218,0.7506860222740493
math.CA,0.9190704026308082,0.8494022049211651,0.9487165261693621,0.8616920310103464
math.CO,0.62968068860381,0.46628611413199267,0.4886785746770619,0.4700533710315612
math.CT,1.4974675876221757,1.3881761231260454,1.4125042883756491,1.3718939931485399
math.CV,0.8565550030173377,0.830597762300685,0.8527595992879327,0.825772367589229
math.DG,0.6219149576875767,0.5329493091599,0.5438163622562101,0.5359165375448117
math.DS,0.6211350476018385,0.5440960808308265,0.5550537764918652,0.5745009197910942
math.FA,0.7795152139070499,0.6912814863193499,0.716887277983321,0.6912817043422146
math.GM,1.6310130450112896,1.6250495774168807,1.702078987791666,1.6997469451158724
math.GN,1.7749808699783114,1.8519020878472288,1.8577233672429805,1.831272001364541
math.GR,0.894180614291038,0.8738784018977673,0.7680051842787672,0.8393534650676409
math.GT,0.629749528474824,0.6087588617770204,0.6289624544173281,0.634046080046145
