,Dummy,Weekday_Linear,EST_NCV,EST_CV,SARIMA_CV,Prophet,Prophet_Full
cs.CL,3.129036159569378,2.823243507263438,2.7065606961725814,3.6014540966091544,3.3011334235333756,3.0268449514778157,2.9929627401000864
cs.CR,1.6439974037960072,1.2629169721634317,1.2917376180859417,1.274041212567824,1.2527963718579147,1.6356279804075213,1.6358134660770818
cs.CV,2.1758418067216527,1.6994943710313164,1.765841219458372,1.8644589817184363,1.7781588813674727,2.2863961377285125,2.138969068342607
cs.CY,2.094403826492533,1.7041213965858473,1.5604072819627854,1.5942945089040288,1.5591607987107554,1.9785831650504218,2.1713413306946725
cs.DB,1.7002413335184656,1.521404281748102,1.5409106913628423,1.6370939571340628,1.5515367423359347,1.6923209625759617,1.7342882679488103
cs.DC,1.3727816337537224,1.0676570815274808,1.054993671698573,1.0493782213951743,1.084583203298129,1.3511560121627595,1.3784954324264898
cs.DL,2.103388604526063,2.150169297554804,2.1886154165355967,2.150169630509214,2.1565859058297625,2.1143626450232085,2.139181468568941
cs.DM,1.0280617313637432,0.9982580024792099,1.0102216684255354,0.9832594701222843,0.9971513612508712,1.0049184226569738,1.0140551337155892
cs.DS,1.1112106562748805,1.0187556716733026,0.9790366078198977,1.0596571880965946,1.178167286989279,1.197564341566908,1.0984021740436416
cs.ET,2.7111026122316835,2.551420772751994,2.6960942056691546,2.5514237144160505,2.5532094411420263,2.7568505269998558,2.8541295037563206
cs.FL,1.5240429539692073,1.5678888398305442,1.5397838323691284,1.5960881419820208,1.5058933661819773,1.5282646068860655,1.5106881245736692
cs.GL,3.2371469505616584,3.3593315712608605,3.731039206770586,3.359259021403656,5.8511594548927155,3.3878832668505323,4.032463057616098
cs.GR,3.4383824800992766,3.3161465265216084,3.425094971341481,3.4512728415466536,3.414041117009102,3.4940588772675554,3.398039448709304
cs.GT,1.90966887757915,1.740988067278554,1.8898884515401044,1.9077328885813536,1.6694390003777422,1.8827777244787383,1.8787009449714256
cs.HC,2.699979501070866,2.2508200799433022,2.0985732287056074,2.062327298647275,2.329469257103823,2.848325107858694,2.728240942156677
cs.IR,1.9318339122925325,1.6369969502165573,1.7743975168745019,1.7059929818852648,1.639228653400142,1.937267820991377,1.9644380571825193
cs.IT,0.8137118079905139,0.688094444634623,0.7981788504032334,0.7071622451969773,0.7393365576798998,0.8509690600281589,0.8127807873629309
cs.LG,1.6922384079610484,1.3324193768218402,1.2936227826813576,1.402330150446513,1.263953019623863,1.7912140582776008,1.666225860444334
cs.LO,1.5200296851831445,1.495133103620759,1.5725363990080197,1.5075030777651213,1.512114067362954,1.5467537245607539,1.4872514475003402
