,dummy,t_reg,day_reg,mday_reg,tday_reg,gbrt,prophet,prophet_full
math.GM,1.6310130450112896,1.6251286432127567,1.6283350887612498,1.6710845603256426,1.6231269181060985,1.9176648600709834,1.765758950648166,1.6012234605128952
math.GN,1.7749808699783114,1.7292192191867286,1.7738168079696206,1.952523339436644,1.7286750402156332,1.5781296497438806,1.6985936292562078,1.7381532300647717
math.GR,0.894180614291038,0.8781639298343228,0.7963261159215891,0.7934492152027187,0.7789161357724145,2.008439803354884,1.6877456913921,0.8155982544343062
math.GT,0.629749528474824,0.6312069471657041,0.607300949682583,0.6177385633275448,0.609089365903314,1.4774491540155035,1.4990380096932188,0.5962024414878172
math.HO,2.282625377969953,2.4402669173561633,2.2935394413711094,2.2152466125477503,2.4561872272548464,1.9236920479002175,2.4669739411046328,2.161930189592809
math.IT,0.8100398848831573,0.8453952640827687,0.689319059846487,0.7231334283620754,0.741093519171019,1.6914572394859906,2.099782217686569,0.6609804216686257
math.KT,1.3972474990709847,1.4061393343517892,1.3466186873206294,1.3539670378330881,1.3533858133112953,1.3740530598466643,1.1629524303481313,1.3381837030230477
math.LO,1.1837830860999061,1.1707611935444362,0.9914388250506816,1.0405987770296992,0.9759565982522354,1.8400867875204279,1.9471097626534457,1.0829465367143978
math.MG,1.1976524188348878,1.1924424031902807,1.0993479785295523,1.1228747371638705,1.094314779878834,2.0735445819211114,1.8299350246978574,1.1129623479509725
math.MP,0.48785965556423744,0.4982426737083051,0.4468740495595585,0.5059213662847226,0.45488889664942456,1.4960636887963623,1.4996586690492018,0.41958002941507916
math.NA,1.050969877352126,1.0474364507336797,0.7778241701429581,0.83451880162944,0.7761112421360903,2.8916934866539634,2.7959947070772104,0.9175526490421685
math.NT,0.689001599994499,0.6779411798334192,0.602349227213576,0.605747400605677,0.5884855854474862,1.9023914401667485,1.698780713422178,0.5934685004058433
math.OA,0.7947184895787148,0.7850250446510424,0.767260728500327,0.7979173714915416,0.756479256820086,1.5174474721876343,1.4320913498947532,0.7725990173971475
math.OC,0.9760215624894069,1.0223080341600967,0.7056323733689801,0.7360835388083717,0.7778073852329549,3.0330993304195433,3.0922209118006263,0.8222525637064606
math.PR,0.653938241944008,0.7244950717373806,0.5569661897473447,0.549043674182908,0.6443755971130645,2.052935784396978,2.1771025097228276,0.5964205122985635
math.QA,0.8467575249441762,0.8390134730176555,0.8157567911533008,0.8386687036649796,0.8072316348174998,1.2320601947111611,1.4020367955729789,0.8027409441829421
math.RA,0.9809262990708061,0.9758627782853506,0.8434823278169307,0.8411500666285127,0.838356966330619,1.6835791595761744,1.6362339037525295,0.8987014494594517
math.RT,0.7277777303748003,0.7301346133365884,0.6335948883458046,0.6488951257616953,0.6365070352656322,1.655310641589126,1.7623518216729184,0.6460256653880097
math.SG,1.1514237366468205,1.1488508684124126,1.096318215333016,1.1337694196279278,1.0958395530181446,1.4730814585691672,1.507050936525615,1.108082248826881
math.SP,1.3106065569809522,1.3188360393348624,1.2196457808222418,1.2960642222448786,1.2301432395050713,1.719291914454552,1.7346021489095884,1.2666486895511753
math.ST,0.9091672286276122,0.9295753876733415,0.8589952393540198,0.8709049635355957,0.8810883856373006,2.2218829111282283,2.3597411525606984,0.8268016754375673
nlin.AO,1.1388248745642853,1.1683884441572712,1.1533711000603284,1.2040949807425332,1.1794894127260394,1.6165352574231873,1.3319706749171785,1.1562768421214296
nlin.CD,0.7506619605916846,0.7545427709878815,0.7554037096342194,0.7504226868816377,0.7559258436932474,1.2740613096757563,1.1392824105859558,0.731347056097077
